Match Title,Match ID,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard Link
Punjab Vs Madhya Pradesh Elite Group D,1333300,Punjab,M. Pradesh,Punjab,inns & 122 runs,Mohali,"Jan 17-19, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/punjab-vs-madhya-pradesh-elite-group-d-1333300/full-scorecard
Rajasthan Vs Chhattisgarh Elite Group C,1333299,Rajasthan,Chhattisgarh,Rajasthan,167 runs,Jodhpur,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/rajasthan-vs-chhattisgarh-elite-group-c-1333299/full-scorecard
Saurashtra Vs Andhra Elite Group B,1333292,Saurashtra,Andhra,Andhra,150 runs,Rajkot,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/saurashtra-vs-andhra-elite-group-b-1333292/full-scorecard
Services Vs Goa Elite Group C,1333296,Services,Goa,Goa,inns & 4 runs,Delhi,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/services-vs-goa-elite-group-c-1333296/full-scorecard
Sikkim Vs Manipur 2Nd Semi Final,1333305,Sikkim,Manipur,Manipur,2 wickets,Surat,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/sikkim-vs-manipur-2nd-semi-final-1333305/full-scorecard
Tamil Nadu Vs Assam Elite Group B,1333293,Tamil Nadu,Assam,Tamil Nadu,inns & 70 runs,Chennai,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/tamil-nadu-vs-assam-elite-group-b-1333293/full-scorecard
Uttar Pradesh Vs Odisha Elite Group A,1333291,UP,Odisha,drawn,-,Meerut,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/uttar-pradesh-vs-odisha-elite-group-a-1333291/full-scorecard
Vidarbha Vs Gujarat Elite Group D,1333303,Vidarbha,Gujarat,Vidarbha,18 runs,Nagpur,"Jan 17-19, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/vidarbha-vs-gujarat-elite-group-d-1333303/full-scorecard
Uttarakhand Vs Baroda Elite Group A,1333290,Uttarakhand,Baroda,drawn,-,Dehradun,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/uttarakhand-vs-baroda-elite-group-a-1333290/full-scorecard
Meghalaya Vs Bihar 1St Semi Final,1333304,Meghalaya,Bihar,Bihar,302 runs,Shillong,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/meghalaya-vs-bihar-1st-semi-final-1333304/full-scorecard
Chandigarh Vs Vidarbha Elite Group D,1333282,Chandigarh,Vidarbha,drawn,-,Chandigarh,"Jan 10-13, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/chandigarh-vs-vidarbha-elite-group-d-1333282/full-scorecard
